batch_rank,research_score,review_tier,priority_rank,ticker,company,exchange,market_cap_usd,market_cap_bucket,sector,priority_method,filer_category,last_annual,recommended_categories,cik,existing_catalog_match,existing_leader_count,existing_leader_names,existing_x_handles,source_research_priority,discovery_mode,target_roles,executive_name,executive_role,role_status,role_source_url,x_handle,x_check_type,x_identity_status,x_identity_source_url,x_activity_status,x_last_activity_at,sp500_member,nasdaq100_member,confidence,review_status,review_notes
67,69,C,63,TMUS,T-Mobile US,NASDAQ,182000000000,large_100_500b,通信服务,market_cap,,,上市公司|NASDAQ|通信服务,0001283699,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
68,69,C,65,DIS,Walt Disney Company (The),NYSE,178300000000,large_100_500b,通信服务,market_cap,,,上市公司|NYSE|通信服务,0001744489,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
69,68,C,51,C,Citigroup,NYSE,224700000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000831001,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
70,68,C,54,AXP,American Express,NYSE,212600000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000004962,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
71,68,C,60,DE,Deere & Company,NYSE,184600000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业,0000315189,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
72,68,C,62,SCHW,Charles Schwab Corporation,NYSE,183000000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000316709,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
73,68,C,70,BLK,BlackRock,NYSE,166100000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0002012383,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
74,68,C,71,UNP,Union Pacific Corporation,NYSE,165900000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业,0000100885,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
75,68,C,78,BX,Blackstone Inc.,NYSE,150100000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0001393818,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
76,68,C,85,HON,Honeywell,NASDAQ,130800000000,large_100_500b,工业,market_cap,,,上市公司|NASDAQ|工业,0000773840,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
77,68,C,91,COF,Capital One,NYSE,124700000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000927628,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
78,68,C,92,PGR,Progressive Corporation,NYSE,124700000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000080661,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
79,68,C,97,SPGI,S&P Global,NYSE,120000000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0000064040,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
80,68,C,98,PH,Parker Hannifin,NYSE,119000000000,large_100_500b,工业,market_cap,,,上市公司|NYSE|工业,0000076334,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
81,67,C,55,AMGN,Amgen,NASDAQ,208100000000,large_100_500b,医疗健康,market_cap,,,上市公司|NASDAQ|医疗,0000318154,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
82,67,C,59,GILD,Gilead Sciences,NASDAQ,186400000000,large_100_500b,医疗健康,market_cap,,,上市公司|NASDAQ|医疗,0000882095,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
83,67,C,64,ABT,Abbott Laboratories,NYSE,178700000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000001800,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
84,67,C,73,COP,ConocoPhillips,NYSE,160600000000,large_100_500b,能源,market_cap,,,上市公司|NYSE|能源,0001163165,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
85,67,C,79,DHR,Danaher Corporation,NYSE,149900000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000313616,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
86,67,C,83,ISRG,Intuitive Surgical,NASDAQ,139300000000,large_100_500b,医疗健康,market_cap,,,上市公司|NASDAQ|医疗,0001035267,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
87,67,C,88,VRTX,Vertex Pharmaceuticals,NASDAQ,129000000000,large_100_500b,医疗健康,market_cap,,,上市公司|NASDAQ|医疗,0000875320,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
88,67,C,89,BMY,Bristol Myers Squibb,NYSE,128800000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000014272,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
89,67,C,94,MPC,Marathon Petroleum,NYSE,124000000000,large_100_500b,能源,market_cap,,,上市公司|NYSE|能源,0001510295,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
90,67,C,96,VLO,Valero Energy,NYSE,122700000000,large_100_500b,能源,market_cap,,,上市公司|NYSE|能源,0001035002,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
91,67,C,100,CVS,CVS Health,NYSE,113400000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000064803,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
92,66,C,68,MCD,McDonald's,NYSE,176400000000,large_100_500b,可选消费,market_cap,,,上市公司|NYSE|消费零售,0000063908,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
93,66,C,81,TJX,TJX Companies,NYSE,140600000000,large_100_500b,可选消费,market_cap,,,上市公司|NYSE|消费零售,0000109198,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
94,66,C,86,BKNG,Booking Holdings,NASDAQ,130100000000,large_100_500b,可选消费,market_cap,,,上市公司|NASDAQ|消费零售,0001075531,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
95,66,C,140,DDOG,Datadog,NASDAQ,81800000000,large_25_100b,科技,market_cap,,,上市公司|NASDAQ|科技|AI|云计算|软件,0001561550,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
96,65,C,66,PEP,PepsiCo,NASDAQ,177400000000,large_100_500b,必需消费,market_cap,,,上市公司|NASDAQ|消费零售,0000077476,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
97,65,C,69,NEE,NextEra Energy,NYSE,167800000000,large_100_500b,公用事业,market_cap,,,上市公司|NYSE|能源,0000753308,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
98,65,C,99,MO,Altria,NYSE,116100000000,large_100_500b,必需消费,market_cap,,,上市公司|NYSE|消费零售,0000764180,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
99,65,C,108,APP,AppLovin Corporation,NASDAQ,103500000000,large_100_500b,科技,market_cap,,,上市公司|NASDAQ|科技|AI,0001751008,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
100,64,C,72,WELL,Welltower,NYSE,161600000000,large_100_500b,房地产,market_cap,,,上市公司|NYSE|房地产,0000766704,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
101,64,C,84,NEM,Newmont,NYSE,131700000000,large_100_500b,原材料,market_cap,,,上市公司|NYSE|原材料,0001164727,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
102,64,C,90,PLD,Prologis,NYSE,125700000000,large_100_500b,房地产,market_cap,,,上市公司|NYSE|房地产,0001045609,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
103,64,C,113,ADBE,Adobe Inc.,NASDAQ,98900000000,large_25_100b,科技,market_cap,,,上市公司|NASDAQ|科技|AI|软件,0000796343,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
104,64,C,138,INTU,Intuit,NASDAQ,82900000000,large_25_100b,科技,market_cap,,,上市公司|NASDAQ|科技|AI|软件,0000896878,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
105,64,C,149,CDNS,Cadence Design Systems,NASDAQ,78000000000,large_25_100b,科技,market_cap,,,上市公司|NASDAQ|科技|AI|软件,0000813672,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
106,63,C,104,HOOD,"Robinhood Markets, Inc.",NASDAQ,107900000000,large_100_500b,金融,market_cap,,,上市公司|NASDAQ|金融,0001783879,yes,1,Vlad Tenev,vladtenev,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
107,62,C,112,CME,CME Group,NASDAQ,100000000000,large_100_500b,金融,market_cap,,,上市公司|NASDAQ|金融|金融科技,0001156375,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
108,62,C,119,APH,Amphenol,NYSE,95400000000,large_25_100b,科技,market_cap,,,上市公司|NYSE|科技|芯片,0000820313,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
109,62,C,144,HPE,Hewlett Packard Enterprise,NYSE,80500000000,large_25_100b,科技,market_cap,,,上市公司|NYSE|科技|云计算,0001645590,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
110,61,C,105,LOW,Lowe's,NYSE,107900000000,large_100_500b,可选消费,market_cap,,,上市公司|NYSE|消费零售,0000060667,yes,1,Marvin Ellison,MarvinREllison,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
111,60,C,103,ADP,Automatic Data Processing,NASDAQ,108400000000,large_100_500b,工业,market_cap,,,上市公司|NASDAQ|工业,0000008670,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
112,60,C,106,BNY,Bank of New York Mellon Corp,NYSE,105600000000,large_100_500b,金融,market_cap,,,上市公司|NYSE|金融,0001390777,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
113,59,C,101,PSX,Phillips 66,NYSE,109500000000,large_100_500b,能源,market_cap,,,上市公司|NYSE|能源,0001534701,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
114,59,C,107,SYK,Stryker Corporation,NYSE,105500000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000310764,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
115,59,C,110,MCK,McKesson Corporation,NYSE,102400000000,large_100_500b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000927653,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
116,59,C,118,GD,General Dynamics,NYSE,95500000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业|航空航天,0000040533,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
117,59,C,123,HWM,Howmet Aerospace,NYSE,91900000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业|航空航天,0000004281,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
118,59,C,130,ICE,Intercontinental Exchange,NYSE,87900000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融|金融科技,0001571949,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
119,58,C,102,SBUX,Starbucks,NASDAQ,109200000000,large_100_500b,可选消费,market_cap,,,上市公司|NASDAQ|消费零售,0000829224,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
120,58,C,111,EQIX,Equinix,NASDAQ,100700000000,large_100_500b,房地产,market_cap,,,上市公司|NASDAQ|房地产|云计算,0001101239,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
121,58,C,114,ABNB,Airbnb,NASDAQ,98700000000,large_25_100b,可选消费,market_cap,,,上市公司|NASDAQ|消费零售,0001559720,yes,1,Brian Chesky,bchesky,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
122,58,C,136,DASH,DoorDash,NASDAQ,84100000000,large_25_100b,通信服务,market_cap,,,上市公司|NASDAQ|通信服务,0001792789,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
123,58,C,141,CMCSA,Comcast,NASDAQ,81200000000,large_25_100b,通信服务,market_cap,,,上市公司|NASDAQ|通信服务,0001166691,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
124,57,C,116,VRT,Vertiv Holdings Co,NYSE,95800000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0001674101,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
125,57,C,117,PWR,Quanta Services,NYSE,95500000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0001050915,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
126,57,C,121,PNC,PNC Financial Services,NYSE,93600000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融,0000713676,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
127,57,C,122,USB,U.S. Bancorp,NYSE,93200000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融,0000036104,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
128,57,C,128,KKR,KKR,NYSE,88700000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融,0001404912,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
129,57,C,131,CSX,CSX Corporation,NASDAQ,87500000000,large_25_100b,工业,market_cap,,,上市公司|NASDAQ|工业,0000277948,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
130,57,C,132,MMM,3M,NYSE,86500000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0000066740,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
131,57,C,133,WM,Waste Management,NYSE,84800000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0000823768,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
132,57,C,134,MRSH,"Marsh & McLennan Companies, Inc.",NYSE,84300000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融,0000062709,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
133,57,C,135,UPS,United Parcel Service,NYSE,84200000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0001090727,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
134,57,C,137,EMR,Emerson Electric,NYSE,84000000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0000032604,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
135,57,C,139,MCO,Moody's Corporation,NYSE,81900000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融,0001059556,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
136,57,C,145,TRV,Travelers Companies (The),NYSE,79700000000,large_25_100b,金融,market_cap,,,上市公司|NYSE|金融,0000086312,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
